Actual_Price,Banner,Banner_ID,Category_ID,Channel,City,City_ID,Commune,Country,Customer,Customer_ID,Customer_Type,Date_of_audit,Division_ID,Field_Execution_Manager,Field_Execution_Manager_ID,Field_Sales_Manager,Field_Sales_Manager_ID,Local_Channel,Local_Channel_ID,Local_Outlet_Name,Local_Product_Category,Local_Product_Market,Local_Subchannel,Local_Subchannel_ID,Market_ID,Outlet_ID,Outlet_classification,PS_Category,Product_Brand_ID,Product_Sub_Brand,Product_Sub_Brand_ID,Product_brand,Product_category,Product_division,Product_market,Product_sector,Province,Record_Id,Region,Rural_Urban,SKU,SKU_ID,Sales_Org,Sales_area,Sales_region,Sales_route,Sales_territory,Sector_ID,Store_Operations_Manager_ID,Store_Operations_Managers,Store_location,Strategic_Price,Subchannel,Top_Customer,Trade_Format,X4P_5P_6P
80,Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-11-06,1,Manager 1,1,Manager 1,1,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,2,MIX,Gifting,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-11-062,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,2,Manager 2,Loc 1,0,Hypermarket,Yes,MT,6P
80,Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-10-06,1,Manager 1,1,Manager 1,1,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,3,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-10-063,North,Rural,SKU 15,15,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,3,Manager 3,Loc 1,0,Hypermarket,Yes,MT,6P
80,Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-09-06,1,Manager 2,2,Manager 2,2,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,4,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-09-064,North,Rural,SKU 16,16,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,4,Manager 4,Loc 1,1,Hypermarket,Yes,MT,6P
80,Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-08-06,1,Manager 2,2,Manager 2,2,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,5,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-08-065,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,5,Manager 5,Loc 1,1,Hypermarket,Yes,MT,6P
80,Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-07-06,1,Manager 2,2,Manager 2,2,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,6,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-07-066,North,Rural,SKU 15,15,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,6,Manager 6,Loc 1,1,Hypermarket,Yes,MT,6P
80,Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-06-06,1,Manager 3,3,Manager 3,3,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,7,MIX,Gifting,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-06-067,North,Rural,SKU 16,16,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,7,Manager 7,Loc 1,0,Hypermarket,Yes,MT,6P
80,Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-05-06,1,Manager 3,3,Manager 3,3,Channel 1,1,Outlet 1,Skin Care,Market 5,Channel 1,1,5,8,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,IC2016-05-068,North,Rural,SKU 17,17,IC,Area 1,Reg 1,Route 1,Territory 1,9,8,Manager 8,Loc 1,0,Hypermarket,Yes,MT,6P
80,Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-04-06,1,Manager 3,3,Manager 3,3,Channel 1,1,Outlet 1,Hair,Market 5,Channel 1,1,5,9,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,HPC&F2016-04-069,North,Rural,SKU 15,15,HPC&F,Area 1,Reg 1,Route 1,Territory 1,8,9,Manager 9,Loc 1,1,Hypermarket,Yes,MT,6P
80,Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-03-06,1,Manager 4,4,Manager 4,4,Channel 1,1,Outlet 1,Hair,Market 5,Channel 1,1,5,10,MIX,Men's Zone,7,Brand 7,7,Brand 7,Ice Cream,Beverages & Refreshments,Market 5,Sector 8,Province 1,IC2016-03-0610,North,Rural,SKU 16,16,IC,Area 1,Reg 1,Route 1,Territory 1,8,10,Manager 10,Loc 1,1,Hypermarket,Yes,MT,6P
80,Banner 1,1,1,Hypermarket,City 1,1,Commune 1,Indonesia,Customer 1,1,Key Customer,2016-12-06,1,Manager 4,4,Manager 4,4,Channel 1,1,Outlet 1,Hair,Market 5,Channel 1,1,5,11,MIX,Men's Zone,8,Brand 8,8,Brand 8,Ice Cream,Beverages & Refreshments,Market 5,Sector 9,Province 1,HPC&F2016-12-0611,North,Rural,SKU 17,17,HPC&F,Area 1,Reg 1,Route 1,Territory 1,9,4,Manager 4,Loc 1,1,Hypermarket,Yes,MT,6P
